op_count_g,time_aware_group_id,num_ops,first_op_idx,last_op_idx,group_time_s,group_peak_memory_gb_est_sum,group_peak_memory_gb_est_max,job_names
4,13,8,31,38,219.58563302829862,70.35836410522461,9.420665740966797,mobilenet_v2_sub_model_31;mobilenet_v2_sub_model_32;mobilenet_v2_sub_model_33;mobilenet_v2_sub_model_34;mobilenet_v2_sub_model_35;mobilenet_v2_sub_model_36;mobilenet_v2_sub_model_37;mobilenet_v2_sub_model_38
4,14,7,39,45,227.6034208163619,63.14934539794922,9.564838409423828,mobilenet_v2_sub_model_39;mobilenet_v2_sub_model_40;mobilenet_v2_sub_model_41;mobilenet_v2_sub_model_42;mobilenet_v2_sub_model_43;mobilenet_v2_sub_model_44;mobilenet_v2_sub_model_45
4,15,10,46,55,225.3046235498041,89.82940673828125,9.641105651855469,mobilenet_v2_sub_model_46;mobilenet_v2_sub_model_47;mobilenet_v2_sub_model_48;mobilenet_v2_sub_model_49;mobilenet_v2_sub_model_50;mobilenet_v2_sub_model_51;mobilenet_v2_sub_model_52;mobilenet_v2_sub_model_53;mobilenet_v2_sub_model_54;mobilenet_v2_sub_model_55
4,16,6,56,61,155.82242931611836,54.296871185302734,9.672008514404297,mobilenet_v2_sub_model_56;mobilenet_v2_sub_model_57;mobilenet_v2_sub_model_58;mobilenet_v2_sub_model_59;mobilenet_v2_sub_model_60;mobilenet_v2_sub_model_61
4,17,4,62,65,194.79567141272128,40.46220016479492,13.578521728515625,mobilenet_v2_sub_model_62;mobilenet_v2_sub_model_63;mobilenet_v2_sub_model_64;mobilenet_v2_sub_model_65
4,18,4,66,69,188.45265151932836,45.963993072509766,14.161128997802734,mobilenet_v2_sub_model_66;mobilenet_v2_sub_model_67;mobilenet_v2_sub_model_68;mobilenet_v2_sub_model_69
4,19,5,70,74,241.61187768913805,55.6537971496582,14.295421600341797,mobilenet_v2_sub_model_70;mobilenet_v2_sub_model_71;mobilenet_v2_sub_model_72;mobilenet_v2_sub_model_73;mobilenet_v2_sub_model_74
4,20,11,75,85,235.037607062608,102.57743835449219,10.26553726196289,mobilenet_v2_sub_model_75;mobilenet_v2_sub_model_76;mobilenet_v2_sub_model_77;mobilenet_v2_sub_model_78;mobilenet_v2_sub_model_79;mobilenet_v2_sub_model_80;mobilenet_v2_sub_model_81;mobilenet_v2_sub_model_82;mobilenet_v2_sub_model_83;mobilenet_v2_sub_model_84;mobilenet_v2_sub_model_85
4,21,10,86,95,225.08919898979366,97.50242614746094,13.835941314697266,mobilenet_v2_sub_model_86;mobilenet_v2_sub_model_87;mobilenet_v2_sub_model_88;mobilenet_v2_sub_model_89;mobilenet_v2_sub_model_90;mobilenet_v2_sub_model_91;mobilenet_v2_sub_model_92;mobilenet_v2_sub_model_93;mobilenet_v2_sub_model_94;mobilenet_v2_sub_model_95
4,22,1,96,96,262.3798919506371,45.26755905151367,45.26755905151367,mobilenet_v2_sub_model_96
4,23,2,97,98,11.204558612778783,18.027198791503906,9.014320373535156,mobilenet_v2_sub_model_97;mobilenet_v2_sub_model_98
4,24,1,99,99,0.6216981168836355,0.0,0.0,mobilenet_v2_sub_model_99
4,25,1,100,100,19.565802266821265,10.355049133300781,10.355049133300781,mobilenet_v2_sub_model_100
8,1,2,1,2,422.22467135451734,29.41869354248047,23.711090087890625,mobilenet_v2_sub_model_1;mobilenet_v2_sub_model_2
8,2,3,3,5,360.9463451988995,27.178314208984375,13.235649108886719,mobilenet_v2_sub_model_3;mobilenet_v2_sub_model_4;mobilenet_v2_sub_model_5
8,3,3,8,10,294.65494526550174,41.88493728637695,15.285148620605469,mobilenet_v2_sub_model_8;mobilenet_v2_sub_model_9;mobilenet_v2_sub_model_10
8,4,1,11,11,454.98756063356996,25.070873260498047,25.070873260498047,mobilenet_v2_sub_model_11
8,5,3,12,14,390.15501572191715,47.5814094543457,26.27075958251953,mobilenet_v2_sub_model_12;mobilenet_v2_sub_model_13;mobilenet_v2_sub_model_14
8,6,3,15,17,619.5307142082602,57.32852554321289,24.565471649169922,mobilenet_v2_sub_model_15;mobilenet_v2_sub_model_16;mobilenet_v2_sub_model_17
8,7,9,18,26,417.38289150223136,83.13529586791992,10.699748992919922,mobilenet_v2_sub_model_18;mobilenet_v2_sub_model_19;mobilenet_v2_sub_model_20;mobilenet_v2_sub_model_21;mobilenet_v2_sub_model_22;mobilenet_v2_sub_model_23;mobilenet_v2_sub_model_24;mobilenet_v2_sub_model_25;mobilenet_v2_sub_model_26
8,8,12,27,38,414.15112893283367,106.1808967590332,9.4967041015625,mobilenet_v2_sub_model_27;mobilenet_v2_sub_model_28;mobilenet_v2_sub_model_29;mobilenet_v2_sub_model_30;mobilenet_v2_sub_model_31;mobilenet_v2_sub_model_32;mobilenet_v2_sub_model_33;mobilenet_v2_sub_model_34;mobilenet_v2_sub_model_35;mobilenet_v2_sub_model_36;mobilenet_v2_sub_model_37;mobilenet_v2_sub_model_38
8,9,15,39,53,418.73549434915185,134.60415267944336,9.593521118164062,mobilenet_v2_sub_model_39;mobilenet_v2_sub_model_40;mobilenet_v2_sub_model_41;mobilenet_v2_sub_model_42;mobilenet_v2_sub_model_43;mobilenet_v2_sub_model_44;mobilenet_v2_sub_model_45;mobilenet_v2_sub_model_46;mobilenet_v2_sub_model_47;mobilenet_v2_sub_model_48;mobilenet_v2_sub_model_49;mobilenet_v2_sub_model_50;mobilenet_v2_sub_model_51;mobilenet_v2_sub_model_52;mobilenet_v2_sub_model_53
8,10,13,54,66,435.50648759305477,127.23755645751953,14.103885650634766,mobilenet_v2_sub_model_54;mobilenet_v2_sub_model_55;mobilenet_v2_sub_model_56;mobilenet_v2_sub_model_57;mobilenet_v2_sub_model_58;mobilenet_v2_sub_model_59;mobilenet_v2_sub_model_60;mobilenet_v2_sub_model_61;mobilenet_v2_sub_model_62;mobilenet_v2_sub_model_63;mobilenet_v2_sub_model_64;mobilenet_v2_sub_model_65;mobilenet_v2_sub_model_66
8,11,11,67,77,407.3969126250595,114.27080535888672,14.295421600341797,mobilenet_v2_sub_model_67;mobilenet_v2_sub_model_68;mobilenet_v2_sub_model_69;mobilenet_v2_sub_model_70;mobilenet_v2_sub_model_71;mobilenet_v2_sub_model_72;mobilenet_v2_sub_model_73;mobilenet_v2_sub_model_74;mobilenet_v2_sub_model_75;mobilenet_v2_sub_model_76;mobilenet_v2_sub_model_77
8,12,18,78,95,432.0785857886076,173.3229637145996,13.835941314697266,mobilenet_v2_sub_model_78;mobilenet_v2_sub_model_79;mobilenet_v2_sub_model_80;mobilenet_v2_sub_model_81;mobilenet_v2_sub_model_82;mobilenet_v2_sub_model_83;mobilenet_v2_sub_model_84;mobilenet_v2_sub_model_85;mobilenet_v2_sub_model_86;mobilenet_v2_sub_model_87;mobilenet_v2_sub_model_88;mobilenet_v2_sub_model_89;mobilenet_v2_sub_model_90;mobilenet_v2_sub_model_91;mobilenet_v2_sub_model_92;mobilenet_v2_sub_model_93;mobilenet_v2_sub_model_94;mobilenet_v2_sub_model_95
8,13,5,96,100,293.7719509471208,73.64980697631836,45.26755905151367,mobilenet_v2_sub_model_96;mobilenet_v2_sub_model_97;mobilenet_v2_sub_model_98;mobilenet_v2_sub_model_99;mobilenet_v2_sub_model_100
