model,raw_model,group_size,job_label,job_time_s,proof_time_s,witness_time_s,memory_gb,report_path
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_47,34.30821064859629,33.945483231917024,0.3627274166792631,8.704212188720703,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_48,6.961917651817203,6.453160837292671,0.5087568145245314,8.703693389892578,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_49,27.458860386162993,27.21891728043556,0.2399431057274341,9.57904052734375,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_50,1.2241227366030216,1.1263138931244612,0.0978088434785604,8.718196868896484,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_51,72.21801137365401,71.91170757263899,0.3063038010150194,9.593521118164062,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_52,7.055307334288955,6.529465572908521,0.525841761380434,8.718143463134766,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_53,34.867368998005986,34.50346678495407,0.3639022130519151,8.733505249023438,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_54,7.112963093444705,6.605149203911424,0.5078138895332813,8.73349380493164,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_55,27.05958692356944,26.8220428917557,0.2375440318137407,9.641105651855469,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_56,1.2002646569162607,1.1103127393871546,0.0899519175291061,8.732410430908203,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
MobileNetV2,mobilenet_v2,1,mobilenet_v2_sub_model_57,72.66371483542025,72.35957043990493,0.3041443955153227,9.608917236328123,/home/pw/projects/zkinfer/results/no-cache/1_worker/group-size-1/mobilenet_v2/reports/job_report.csv
