g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
2,17,33,34,2,47.57573237991892,43.329791427007876,8.802310943603516,5.003383636474609,6.169885792012792,3.083465576171875
2,18,35,36,2,8.627594138029963,4.343917790101841,7.6032257080078125,3.803668975830078,2.4505145929870196,2.8353500366210938
2,19,37,38,2,7.456351598841138,4.320689776912332,7.628368377685547,3.8170089721679688,25.20276155404281,7.780956268310547
2,20,39,40,2,8.608576782979071,4.466635019052774,7.636871337890625,3.818538665771485,1.2201540480018591,2.686939239501953
2,21,41,42,2,7.325301931006834,4.372239897027612,7.641353607177734,3.822711944580078,1.440029825025704,2.6934967041015625
2,22,43,44,2,24.26306520984508,21.504925352870487,9.037456512451174,5.073654174804688,0.4821960760164074,0.0
2,23,45,46,2,6.573020075913519,3.8009855139534925,7.936359405517578,3.968475341796875,29.862266908981837,4.485221862792969
2,24,47,48,2,7.67665237293113,3.9730669650016353,7.942596435546874,3.9732627868652335,1.080252657935489,0.0
2,25,49,50,2,6.688730180030689,4.105944814044051,7.948375701904297,3.97500991821289,1.1133270299760625,0.0
2,26,51,52,2,40.42824708193075,35.201854881015606,8.664653778076172,4.688163757324219,1.1352296590339392,0.0
2,27,53,54,2,5.486582375830039,2.881841220892966,8.086868286132812,4.043670654296875,24.024387156008743,3.572860717773437
2,28,55,56,2,5.416748729883693,2.7906577719841152,8.094757080078125,4.047645568847656,32.87707698799204,7.793243408203125
2,29,57,58,2,5.2933813839918,2.6894674979848787,8.10457992553711,4.052299499511719,11.967343343014363,3.609409332275391
2,30,59,60,2,29.989382699131966,27.378891744068824,8.104969024658203,4.052520751953125,11.92775436694501,3.615509033203125
2,31,61,62,2,7.340152948978357,4.160228644032031,8.113605499267578,4.059288024902344,1.1836474319570698,2.8734207153320312
2,32,63,64,2,44.526080684154294,30.409774183062837,11.033287048339844,6.722393035888672,1.1529114850563928,2.8734207153320312
2,33,65,66,2,5.237249557860196,2.632899433840066,8.621932983398438,4.311031341552734,0.8162533210706897,0.0
2,34,67,68,2,16.380711623001844,13.749451245064847,8.621368408203125,4.311153411865234,1.100615735980682,2.8738975524902344
2,35,69,70,2,6.286219316069037,3.6210847600596026,8.630512237548828,4.320079803466797,44.954378162976354,7.502422332763672
2,36,71,72,2,7.6116822271142155,3.8515559231163934,8.648357391357422,4.324180603027344,2.365883949038107,2.8475379943847656
2,37,73,74,2,6.187735339044593,3.7391088659642264,8.648601531982422,4.324321746826172,2.46523009397788,3.024677276611328
2,38,75,76,2,50.45889674697537,45.44359056802932,9.202934265136719,5.131275177001953,2.4549622439662926,2.96951675415039
2,39,77,78,2,8.277246983954683,4.170802525943145,8.362545013427734,4.1812744140625,3.1041807730216533,2.8753890991210938
2,40,79,80,2,8.503562288009562,4.320128871127963,8.379875183105469,4.190200805664063,25.016234628972594,7.775867462158203
2,41,81,82,2,7.352368720108643,4.236169264069758,8.392200469970703,4.199142456054688,1.164351575949695,2.868572235107422
2,42,83,84,2,7.25486042315606,4.365095951012336,8.401908874511719,4.201641082763672,1.154153392999433,2.868572235107422
2,43,85,86,2,25.98894070798997,21.60926213604398,9.626007080078125,5.423839569091797,0.8426845670328476,0.0
2,44,87,88,2,6.3444245759164914,3.645585983991623,8.599506378173828,4.2997589111328125,1.2213586900033988,2.869037628173828
2,45,89,90,2,6.597801780095324,3.9339325230102986,8.601459503173828,4.301219940185547,29.75734652898973,5.0967559814453125
2,46,91,92,2,6.05573434184771,3.64766943489667,8.60251235961914,4.301258087158203,2.011483627953566,3.0037765502929688
2,47,93,94,2,8.668452398851514,4.916195433004759,8.605430603027344,4.302722930908203,23.612357326957863,3.752983093261719
2,48,95,96,2,36.616847080993466,33.8081999089336,9.30642318725586,4.974353790283203,2.4299482999485917,2.983856201171875
2,49,97,98,2,5.267806492978707,2.6842674650251865,8.663463592529297,4.331867218017578,68.18410287500592,13.24612808227539
2,50,99,100,2,5.424253030912951,2.7186653069220483,8.664695739746094,4.332347869873047,11.735232311009895,3.9245643615722656
2,51,101,102,2,5.2685172338970006,2.6511387029895563,8.665393829345703,4.332740783691406,1.2646341669606045,3.0672149658203125
2,52,103,104,2,30.69202190695796,26.513343127910048,8.673912048339844,4.337177276611328,1.4076116390060633,3.0675811767578125
2,53,105,106,2,33.673313334118575,30.484129125019535,11.281578063964844,6.944400787353516,0.4645649259909987,0.0
